"tag1","date","status","c1","c2","ch","stemd1","herbivory","notes"
544,"2015-03-26",1,NA,NA,NA,NA,0,NA
544,"2015-05-26",1,4,3,4,2.4,NA,""
246,"2014-10-30",1,3,3,4,1.9,0,""
246,"2015-02-19",1,NA,NA,NA,NA,0,NA
246,"2015-03-26",1,NA,NA,NA,NA,0,NA
246,"2015-05-26",1,4,3,4,1.9,NA,""
754,"2014-10-30",1,6,5,5,3.5,0,""
754,"2015-02-19",1,NA,NA,NA,NA,0,NA
754,"2015-03-26",1,NA,NA,NA,NA,0,NA
754,"2015-05-26",1,7,4,5,3.3,NA,""
344,"2014-10-30",1,6,3,6,2.2,0,""
344,"2015-02-19",1,NA,NA,NA,NA,0,NA
344,"2015-03-26",1,NA,NA,NA,NA,0,NA
344,"2015-05-26",1,2,3,5,2,NA,""
471,"2014-10-30",1,4,4,4,1.6,0,""
471,"2015-02-19",1,NA,NA,NA,NA,0,NA
471,"2015-03-26",1,NA,NA,NA,NA,0,NA
471,"2015-05-26",1,5,4,5,1.6,NA,""
569,"2014-10-30",1,4,4,5,2.5,0,""
569,"2015-02-19",1,NA,NA,NA,NA,0,NA
569,"2015-03-26",1,NA,NA,NA,NA,0,NA
569,"2015-05-26",1,4,3,5,3.5,NA,""
880,"2014-10-30",1,5,4,6,2.1,0,""
880,"2015-02-19",1,NA,NA,NA,NA,0,NA
880,"2015-03-26",1,NA,NA,NA,NA,0,NA
880,"2015-05-26",1,5,4,6,2.4,NA,""
593,"2014-10-30",1,1,1,4,1.2,0,""
593,"2015-02-19",1,NA,NA,NA,NA,0,NA
593,"2015-03-26",1,NA,NA,NA,NA,0,NA
593,"2015-05-26",1,2,2,4,1.5,NA,""
866,"2014-10-30",1,4,2,7,2.1,0,""
866,"2015-02-19",1,NA,NA,NA,NA,0,NA
866,"2015-03-26",1,NA,NA,NA,NA,0,NA
866,"2015-05-26",1,4,2,8,2,NA,""
524,"2014-10-30",1,2,2,3,2,0,""
524,"2015-02-19",1,NA,NA,NA,NA,0,NA
524,"2015-03-26",1,NA,NA,NA,NA,0,NA
524,"2015-05-26",1,3,3,5,2.2,NA,""
235,"2014-10-30",1,2,2,5,1.6,0,""
235,"2015-02-19",1,NA,NA,NA,NA,0,NA
235,"2015-03-26",1,NA,NA,NA,NA,0,NA
235,"2015-05-26",1,3,3,6,1.6,NA,""
233,"2014-10-30",1,5,4,6,2.7,0,""
233,"2015-02-19",1,NA,NA,NA,NA,0,NA
233,"2015-03-26",3,NA,NA,NA,NA,0,NA
233,"2015-05-26",3,NA,NA,NA,2.4,NA,"mostly leafless"
728,"2014-10-30",1,4,4,5,2.6,0,""
728,"2015-02-19",1,NA,NA,NA,NA,0,NA
728,"2015-03-26",1,NA,NA,NA,NA,0,NA
728,"2015-05-26",1,5,4,5,2.7,NA,""
707,"2014-10-30",1,3,2,4,1.7,0,""
707,"2015-02-19",1,NA,NA,NA,NA,0,NA
707,"2015-03-26",1,NA,NA,NA,NA,0,NA
707,"2015-05-26",1,3,3,5,1.8,NA,""
848,"2014-10-29",1,3,2,3,1.5,0,""
848,"2015-02-19",1,NA,NA,NA,NA,0,NA
848,"2015-03-26",1,NA,NA,NA,NA,0,NA
848,"2015-05-26",1,3,3,3,1.6,NA,""
799,"2014-10-29",1,3,3,5,2.5,0,""
799,"2015-02-19",1,NA,NA,NA,NA,0,NA
799,"2015-03-26",1,NA,NA,NA,NA,0,NA
799,"2015-05-26",1,4,4,6,3.2,NA,""
662,"2014-10-29",1,1,1,4,1.6,0,""
662,"2015-02-19",1,NA,NA,NA,NA,0,NA
662,"2015-03-26",1,NA,NA,NA,NA,0,NA
662,"2015-05-26",1,2,3,6,1.7,NA,""
522,"2014-10-29",1,4,3,7,1.9,0,""
522,"2015-02-19",1,NA,NA,NA,NA,0,NA
522,"2015-03-26",1,NA,NA,NA,NA,0,NA
522,"2015-05-26",1,3,5,7,2.1,NA,""
231,"2014-10-29",1,5,4,6,2.3,0,""
231,"2015-02-19",1,NA,NA,NA,NA,0,NA
231,"2015-03-26",1,NA,NA,NA,NA,0,NA
231,"2015-05-26",1,5,4,7,2.7,NA,""
850,"2014-10-29",1,3,2,5,2.3,0,""
850,"2015-02-19",3,NA,NA,NA,NA,0,NA
850,"2015-03-26",1,NA,NA,NA,NA,0,NA
850,"2015-05-26",1,3,2,4,2.1,NA,""
474,"2014-10-29",1,4,2,5,1.8,0,""
474,"2015-02-19",1,NA,NA,NA,NA,0,NA
474,"2015-03-26",1,NA,NA,NA,NA,0,NA
474,"2015-05-26",1,3,2,6,2,NA,""
853,"2014-10-29",1,4,3,4,1.9,0,""
853,"2015-02-19",1,NA,NA,NA,NA,0,NA
853,"2015-03-26",1,NA,NA,NA,NA,0,NA
853,"2015-05-26",1,5,4,5,2.2,NA,""
240,"2014-10-29",1,4,3,8,2.9,0,""
240,"2015-02-19",1,NA,NA,NA,NA,0,NA
240,"2015-03-26",1,NA,NA,NA,NA,0,NA
240,"2015-05-26",1,4,5,7,3,NA,""
106,"2014-10-29",1,2,2,3,1.5,0,""
106,"2015-02-19",1,NA,NA,NA,NA,0,NA
106,"2015-03-26",1,NA,NA,NA,NA,0,NA
106,"2015-05-26",1,3,3,3,2,NA,""
709,"2014-10-29",1,3,3,7,1.7,0,""
709,"2015-02-19",3,NA,NA,NA,NA,1,NA
709,"2015-03-26",3,NA,NA,NA,NA,1,NA
709,"2015-05-26",0,NA,NA,NA,1.2,1,""
411,"2014-10-29",1,5,3,7,2,0,""
411,"2015-02-19",1,NA,NA,NA,NA,0,NA
411,"2015-03-26",1,NA,NA,NA,NA,0,NA
411,"2015-05-26",1,3,4,7,2,NA,""
876,"2014-10-29",1,2,2,4,1.7,0,""
876,"2015-02-19",1,NA,NA,NA,NA,0,NA
876,"2015-03-26",1,NA,NA,NA,NA,0,NA
695,"2014-10-29",1,3,2,5,2,0,""
695,"2015-02-19",1,NA,NA,NA,NA,0,NA
695,"2015-03-26",1,NA,NA,NA,NA,0,NA
878,"2014-10-29",1,1,2,3,1.6,0,""
878,"2015-02-19",1,NA,NA,NA,NA,1,NA
878,"2015-03-26",1,NA,NA,NA,NA,0,NA
711,"2014-10-29",1,2,2,2,1.5,0,""
711,"2015-02-19",1,NA,NA,NA,NA,0,NA
711,"2015-03-26",1,NA,NA,NA,NA,0,NA
1002,"2014-10-30",1,4,3,5,2.3,0,""
1002,"2015-02-19",1,NA,NA,NA,NA,0,NA
1002,"2015-03-27",1,NA,NA,NA,NA,0,NA
1002,"2015-05-28",1,5,5,6,3.2,NA,""
1003,"2014-10-30",1,2,3,4,1.7,0,""
1003,"2015-02-19",1,NA,NA,NA,NA,0,NA
1003,"2015-03-27",1,NA,NA,NA,NA,0,NA
1003,"2015-05-28",1,6,3,4,3.1,NA,""
520,"2014-10-30",1,2,1,3,1.1,0,""
520,"2015-02-19",1,NA,NA,NA,NA,0,NA
520,"2015-03-27",1,NA,NA,NA,NA,0,NA
520,"2015-05-28",0,NA,NA,NA,1,NA,""
521,"2014-10-30",1,5,3,7,1.8,0,""
521,"2015-02-19",1,NA,NA,NA,NA,0,NA
521,"2015-03-27",3,NA,NA,NA,NA,0,NA
521,"2015-05-28",0,NA,NA,NA,1.4,NA,""
1006,"2014-10-30",1,2,4,4,1.7,0,""
1006,"2015-02-19",1,NA,NA,NA,NA,0,NA
1006,"2015-03-27",1,NA,NA,NA,NA,0,NA
1006,"2015-05-28",1,5,3,4,2.1,NA,""
1010,"2014-10-30",1,4,2,3,1.6,0,""
1010,"2015-02-19",1,NA,NA,NA,NA,0,NA
1010,"2015-03-27",1,NA,NA,NA,NA,0,NA
1010,"2015-05-28",1,3,2,4,1.9,NA,""
1007,"2014-10-30",1,4,3,6,3.6,0,""
1007,"2015-02-19",1,NA,NA,NA,NA,0,NA
1007,"2015-03-27",1,NA,NA,NA,NA,0,NA
1007,"2015-05-28",1,5,4,6,3.1,NA,""
1011,"2014-10-30",1,4,3,4,3,0,""
1011,"2015-02-19",1,NA,NA,NA,NA,0,NA
1011,"2015-03-27",1,NA,NA,NA,NA,0,NA
1011,"2015-05-28",1,5,5,4,NA,NA,"multistem"
1015,"2014-10-30",1,3,1,3,1.4,0,""
1015,"2015-02-19",1,NA,NA,NA,NA,0,NA
1015,"2015-03-27",3,NA,NA,NA,NA,0,NA
1015,"2015-05-28",2,NA,NA,NA,NA,NA,"missing"
1019,"2014-10-30",1,3,2,3,1.4,0,""
1019,"2015-02-19",1,NA,NA,NA,NA,0,NA
1019,"2015-03-27",1,NA,NA,NA,NA,0,NA
1019,"2015-05-28",1,5,4,7,1.9,NA,""
1018,"2014-10-30",1,1,1,4,1.2,0,""
1018,"2015-02-19",1,NA,NA,NA,NA,0,NA
1018,"2015-03-27",3,NA,NA,NA,NA,0,NA
1018,"2015-05-28",0,NA,NA,NA,NA,NA,"plant mostly gone "
1014,"2014-10-30",1,3,1,3,2,0,""
1014,"2015-02-19",1,NA,NA,NA,NA,0,NA
1014,"2015-03-27",1,NA,NA,NA,NA,0,NA
1014,"2015-05-28",1,5,3,4,2.4,NA,""
1024,"2014-10-30",1,2,1,3,1.2,0,""
1024,"2015-02-19",1,NA,NA,NA,NA,0,NA
1024,"2015-03-27",1,NA,NA,NA,NA,0,NA
1024,"2015-05-28",1,3,4,4,1.8,NA,""
1028,"2014-10-30",1,2,2,4,1.8,0,""
1028,"2015-02-19",1,NA,NA,NA,NA,0,NA
1028,"2015-03-27",1,NA,NA,NA,NA,0,NA
1028,"2015-05-28",1,4,4,5,2,NA,""
1029,"2014-10-30",1,3,3,5,1.9,0,""
1029,"2015-02-19",1,NA,NA,NA,NA,0,NA
1029,"2015-03-27",1,NA,NA,NA,NA,0,NA
1029,"2015-05-28",1,4,4,5,2.2,NA,""
1025,"2014-10-30",1,2,3,3,2.9,0,""
1025,"2015-02-19",1,NA,NA,NA,NA,0,NA
1025,"2015-03-27",1,NA,NA,NA,NA,0,NA
1025,"2015-05-28",1,3,2,4,2,NA,""
1033,"2014-10-30",1,3,3,4,2.2,0,""
1033,"2015-02-19",1,NA,NA,NA,NA,0,NA
1033,"2015-03-27",1,NA,NA,NA,NA,0,NA
1033,"2015-05-28",1,4,3,4,2,NA,""
1032,"2014-10-30",1,2,2,3,1.4,0,""
1032,"2015-02-19",1,NA,NA,NA,NA,0,NA
1032,"2015-03-27",1,NA,NA,NA,NA,0,NA
1032,"2015-05-28",1,2,2,3,1.7,NA,""
1037,"2014-10-30",1,2,5,5,2.1,0,""
1037,"2015-02-19",1,NA,NA,NA,NA,0,NA
1037,"2015-03-27",1,NA,NA,NA,NA,0,NA
1037,"2015-05-28",1,5,3,5,2.6,NA,""
1036,"2014-10-30",1,2,1,6,1.2,0,""
1036,"2015-02-19",1,NA,NA,NA,NA,0,NA
1036,"2015-03-27",1,NA,NA,NA,NA,0,NA
1036,"2015-05-28",1,3,3,5,1.7,NA,""
1042,"2014-10-30",1,2,1,3,1.3,0,""
1042,"2015-02-19",1,NA,NA,NA,NA,0,NA
1042,"2015-03-27",1,NA,NA,NA,NA,0,NA
1042,"2015-05-28",1,3,3,2,1.6,NA,""
1043,"2014-10-30",1,4,2,4,1.8,0,""
1043,"2015-02-19",1,NA,NA,NA,NA,0,NA
1043,"2015-03-27",1,NA,NA,NA,NA,0,NA
1043,"2015-05-28",1,5,4,3,2.5,NA,""
1038,"2014-10-30",1,2,2,2,1.5,0,""
1038,"2015-02-19",1,NA,NA,NA,NA,0,NA
1038,"2015-03-27",3,NA,NA,NA,NA,0,NA
1038,"2015-05-28",1,1,1,1,1.5,NA,"top dead, resprouting "
1039,"2014-10-30",1,3,3,3,1.8,0,""
1039,"2015-02-19",1,NA,NA,NA,NA,0,NA
1039,"2015-03-27",1,NA,NA,NA,NA,0,NA
1039,"2015-05-28",1,2,2,4,1.9,NA,""
1049,"2014-10-30",1,3,2,4,1.6,0,""
1049,"2015-02-19",0,NA,NA,NA,NA,0,NA
1049,"2015-03-27",1,NA,NA,NA,NA,0,NA
1049,"2015-05-28",0,NA,NA,NA,1.1,NA,""
1048,"2014-10-30",1,2,2,4,1.2,0,""
1048,"2015-02-19",1,NA,NA,NA,NA,0,NA
1048,"2015-03-27",1,NA,NA,NA,NA,0,NA
1048,"2015-05-28",1,3,2,4,2,NA,""
1053,"2014-10-30",1,4,3,6,2,0,""
1053,"2015-02-19",1,NA,NA,NA,NA,0,NA
1053,"2015-03-27",1,NA,NA,NA,NA,0,NA
1053,"2015-05-28",0,NA,NA,NA,1.5,NA,""
1052,"2014-10-30",1,3,2,3,1.6,0,""
1052,"2015-02-19",0,NA,NA,NA,NA,0,NA
1052,"2015-03-27",1,NA,NA,NA,NA,0,NA
1052,"2015-05-28",0,NA,NA,NA,1.1,NA,""
1058,"2014-10-30",1,4,3,4,1.8,0,""
1058,"2015-02-19",1,NA,NA,NA,NA,0,NA
1058,"2015-03-27",1,NA,NA,NA,NA,0,NA
1058,"2015-05-28",1,5,4,5,2.2,NA,""
1059,"2014-10-30",1,2,1,2,1,0,""
1059,"2015-02-19",1,NA,NA,NA,NA,0,NA
1059,"2015-03-27",1,NA,NA,NA,NA,0,NA
1059,"2015-05-28",1,3,3,6,1.8,NA,""
1055,"2014-10-30",1,4,4,5,2.7,0,""
1055,"2015-02-19",1,NA,NA,NA,NA,0,NA
1055,"2015-03-27",1,NA,NA,NA,NA,0,NA
1055,"2015-05-28",0,NA,NA,NA,1.5,NA,""
1054,"2014-10-30",1,3,3,3,1.7,0,""
1054,"2015-02-19",1,NA,NA,NA,NA,0,NA
1054,"2015-03-27",1,NA,NA,NA,NA,0,NA
1054,"2015-05-28",1,4,3,3,2.1,NA,""
1064,"2014-11-04",1,2,2,4,1.5,1,"already browsed"
1064,"2015-03-20",3,NA,NA,NA,NA,1,NA
1064,"2015-06-05",1,4,2,5,2.2,NA,""
1065,"2014-11-04",1,2,3,7,2.4,1,"already browsed"
1065,"2015-03-20",3,NA,NA,NA,NA,1,NA
1065,"2015-06-05",0,NA,NA,NA,2.1,NA,""
1069,"2014-11-04",1,4,3,4,1.8,1,"already browsed"
1069,"2015-03-20",0,NA,NA,NA,NA,1,NA
1069,"2015-06-05",0,NA,NA,NA,NA,NA,"no stem"
1068,"2014-11-04",1,3,3,3,3.5,1,"already browsed"
1068,"2015-03-20",1,NA,NA,NA,NA,1,NA
1068,"2015-06-05",1,2,4,5,2.6,NA,""
1071,"2014-11-04",1,4,3,8,2,0,""
1071,"2015-03-20",1,NA,NA,NA,NA,1,NA
1071,"2015-06-05",1,2,2,7,1.8,NA,""
1074,"2014-11-04",1,1,1,4,1.5,1,"already browsed"
1074,"2015-03-20",1,NA,NA,NA,NA,1,NA
1074,"2015-06-05",1,2,2,4,1.6,NA,""
1075,"2014-11-04",1,2,3,4,1.4,0,""
1075,"2015-03-20",1,NA,NA,NA,NA,0,NA
1075,"2015-06-05",1,5,3,9,2,NA,""
1070,"2014-11-04",1,4,3,6,2.2,0,""
1070,"2015-03-20",3,NA,NA,NA,NA,0,NA
1070,"2015-06-05",0,NA,NA,NA,1.8,NA,""
1079,"2014-11-04",1,2,1,3,1.8,1,"already browsed"
1079,"2015-03-20",3,NA,NA,NA,NA,1,NA
1079,"2015-06-05",0,NA,NA,NA,1.3,NA,""
1078,"2014-11-04",1,1,1,2,2,1,"already browsed"
1078,"2015-03-20",3,NA,NA,NA,NA,1,NA
1078,"2015-06-05",0,NA,NA,NA,1.2,NA,""
1082,"2014-11-04",1,1,1,3,1.6,1,"already browsed"
1082,"2015-03-20",3,NA,NA,NA,NA,1,NA
1082,"2015-06-05",1,4,2,5,1.4,NA,""
1083,"2014-11-04",1,1,1,1,1.8,1,"already browsed"
1083,"2015-03-20",3,NA,NA,NA,NA,1,NA
1083,"2015-06-05",1,4,2,4,1.8,NA,""
1088,"2014-11-04",1,2,3,3,1.6,1,"already browsed"
1088,"2015-03-20",1,NA,NA,NA,NA,1,NA
1088,"2015-06-05",1,2,3,5,1.3,NA,""
1089,"2014-11-04",1,3,1,2,1.6,1,"already browsed"
1089,"2015-03-20",1,NA,NA,NA,NA,1,NA
1089,"2015-06-05",1,3,2,4,1,NA,""
1092,"2014-11-04",1,4,5,6,1.9,0,""
1092,"2015-03-20",1,NA,NA,NA,NA,1,NA
1092,"2015-06-05",1,6,3,7,2.4,NA,""
1093,"2014-11-04",1,4,2,3,2,0,""
1093,"2015-03-20",1,NA,NA,NA,NA,0,NA
1093,"2015-06-05",1,2,1,6,2.2,NA,""
1100,"2014-11-04",1,3,3,4,2,0,""
1100,"2015-03-20",1,NA,NA,NA,NA,1,NA
1100,"2015-06-05",1,3,3,5,1.6,NA,""
1101,"2014-11-04",1,1,2,2,1.8,1,"already browsed"
1101,"2015-03-20",3,NA,NA,NA,NA,1,NA
1101,"2015-06-05",1,1,1,4,1.6,NA,""
1096,"2014-11-04",1,3,4,5,2.5,0,""
1096,"2015-03-20",1,NA,NA,NA,NA,0,NA
1096,"2015-06-05",1,5,4,7,3,NA,"fuzzy gall"
1097,"2014-11-04",1,3,1,3,2.1,0,""
1097,"2015-03-20",1,NA,NA,NA,NA,0,NA
1097,"2015-06-05",1,3,4,6,1.9,NA,""
1102,"2014-11-04",1,3,2,3,1.5,0,""
1102,"2015-03-20",1,NA,NA,NA,NA,1,NA
1102,"2015-06-05",1,2,3,3,1.4,NA,""
1103,"2014-11-04",1,3,2,3,2.1,0,""
1103,"2015-03-20",3,NA,NA,NA,NA,1,NA
1103,"2015-06-05",1,1,2,4,2,NA,""
1106,"2014-11-04",1,3,2,3,NA,1,"no central stem already browsed"
1106,"2015-03-20",3,NA,NA,NA,NA,1,NA
1106,"2015-06-05",1,2,1,3,NA,NA,"multistem"
1107,"2014-11-04",1,3,3,2,NA,0,"no central stem already browsed"
1107,"2015-03-20",3,NA,NA,NA,NA,1,NA
1107,"2015-06-05",1,3,3,3,NA,NA,"multistem"
1112,"2014-11-04",1,1,1,1,1.8,1,"already browsed"
1112,"2015-03-20",3,NA,NA,NA,NA,1,NA
1112,"2015-06-05",0,NA,NA,NA,1.1,NA,""
1113,"2014-11-04",1,4,3,2,NA,0,""
1113,"2015-03-20",1,NA,NA,NA,NA,1,NA
1113,"2015-06-05",1,3,1,7,NA,NA,"multistem"
1116,"2014-11-04",1,1,1,1,2.6,1,"already browsed"
1116,"2015-03-20",3,NA,NA,NA,NA,1,NA
1116,"2015-06-05",0,NA,NA,NA,1.7,NA,""
1117,"2014-11-04",1,1,1,1,1.6,1,"already browsed"
1117,"2015-03-20",3,NA,NA,NA,NA,1,NA
1117,"2015-06-05",0,NA,NA,NA,1.9,NA,""
1122,"2014-11-04",1,1,1,1,1.5,1,"already browsed"
1122,"2015-03-20",3,NA,NA,NA,NA,1,NA
1122,"2015-06-05",1,3,1,2,1.3,NA,""
1118,"2014-11-04",1,2,2,3,2.8,1,"already browsed"
1118,"2015-03-20",1,NA,NA,NA,NA,1,NA
1118,"2015-06-05",1,5,2,4,2.8,NA,""
1119,"2014-11-04",1,1,1,1,2.3,1,"already browsed"
1119,"2015-03-20",3,NA,NA,NA,NA,1,NA
1119,"2015-06-05",1,2,2,2,2.2,NA,""
1123,"2014-11-04",1,2,2,2,1.8,1,"already browsed"
1123,"2015-03-20",3,NA,NA,NA,NA,1,NA
1123,"2015-06-05",0,NA,NA,NA,1.3,NA,""
1128,"2014-11-04",1,5,5,5,2.2,0,""
1128,"2015-03-19",1,NA,NA,NA,NA,0,NA
1128,"2015-06-04",1,5,5,7,3.5,NA,""
1129,"2014-11-04",1,5,4,6,2.7,0,""
1129,"2015-03-19",1,NA,NA,NA,NA,0,NA
1129,"2015-06-04",1,6,5,7,3,NA,""
1130,"2014-11-04",1,4,4,5,2.5,0,""
1130,"2015-03-19",1,NA,NA,NA,NA,0,NA
1130,"2015-06-04",1,3,2,5,2.3,NA,""
1131,"2014-11-04",1,3,3,4,2,0,""
1131,"2015-03-19",1,NA,NA,NA,NA,0,NA
1131,"2015-06-04",1,3,5,7,2,NA,""
