site,T,Y,X,treat,ID,field_tag,date,status,c1,c2,ch,canopy,infls,i1,i2,i3,i4,i5,i6,i7,i8,i9,i10,stem_d1,notes,stem_d2,lv_stems,dd_stems,herbivory
C,1,63.9,0.3,control,21,21,41588,1,3,3,5,,,,,,,,,,,,,,,,,,
C,1,64.8,-0.3,control,22,22,41588,1,2,1,5,,,,,,,,,,,,,,,,,,
C,1,64.8,-1.3,remove,23,23,41588,1,2,1,4,,,,,,,,,,,,,,,,,,
C,1,67.9,-1.6,control,25,25,41588,1,2,2,5,,,,,,,,,,,,,,,,,,
C,1,69.5,0.3,control,26,26,41588,1,1,1,8,,,,,,,,,,,,,,,,,,
C,1,70.6,-0.4,remove,27,27,41588,1,7,4,9,,,,,,,,,,,,,,,,,,
C,1,75,0.2,remove,29,29,41588,1,5,3,5,,,,,,,,,,,,,,,,,,
C,1,75.8,2,control,842,24,41588,1,3,4,7,,,,,,,,,,,,,,,,,,
C,1,77.5,1.4,remove,30,30,41588,1,3,2,6,,,,,,,,,,,,,,,,,,
C,1,83.5,0.3,control,31,31,41588,1,2,1,4,,,,,,,,,,,,,,,,,,
C,1,84.1,2.5,control,843,28,41588,1,2,2,3,,,,,,,,,,,,,1.2,new one?,,,,
C,2,6,2.4,control,35,35,41588,1,45,35,23,9,20,3,2,2,3,2,4,3,3,4,3,,,,,,
C,2,7.9,-1.6,control,34,34,41588,1,72,57,51,19,114,1,1,1,2,2,3,2,2,3,1,,,,,,
C,2,11.5,0.4,control,36,36,41588,1,25,17,59,3,16,5,6,2,3,5,5,4,3,3,5,,,,,,
C,2,13.1,-0.1,control,37,37,41588,1,12,7,26,1,0,,,,,,,,,,,,,,,,
C,2,17,-2.4,control,38,38,41588,1,105,91,64,48,239,9,10,10,10,11,11,10,9,7,7,,,,,,
C,2,18.5,0.1,control,39,39,41588,1,35,23,30,7,35,6,7,6,8,4,5,7,6,9,10,,,,,,
C,2,23.2,-0.3,control,40,40,41588,1,20,8,20,1,2,5,10,,,,,,,,,,,,,,
C,2,25.1,-2.1,remove,41,41,41588,1,35,18,30,5,4,2,3,21,,,,,,,,,,,,,
C,2,28.4,0.4,remove,42,42,41588,1,83,65,49,35,245,9,8,5,6,9,8,7,7,7,9,,,,,,
C,2,32.6,1.1,remove,43,43,41588,1,125,90,81,53,166,7,4,6,4,3,5,6,5,6,7,,,,,,
C,2,36.6,0.05,remove,44,44,41588,1,15,7,11,1,0,,,,,,,,,,,,old with black fungus on stems,,,,
C,2,37.8,-1.8,control,45,45,41588,1,14,19,29,2,0,,,,,,,,,,,,,,,,
C,2,38.8,0.7,control,46,46,41588,1,85,81,59,42,310,3,8,4,6,5,5,5,4,3,2,,,,,,
C,2,42.8,0.6,remove,47,47,41588,1,57,57,42,15,106,5,6,6,2,4,7,6,4,7,7,,,,,,
C,2,47.2,0.25,control,48,48,41588,1,5,6,11,1,0,,,,,,,,,,,,,,,,
C,2,48.2,-1.7,remove,49,49,41588,1,27,25,37,5,0,,,,,,,,,,,,,,,,
C,2,51.1,-0.9,remove,50,50,41588,1,93,78,77,34,211,8,6,4,7,8,6,3,5,6,4,,,,,,
C,2,54.5,1.9,remove,51,51,41588,1,48,27,46,8,47,9,10,6,9,8,8,6,5,5,7,,,,,,
C,2,59.9,0.25,remove,52,52,41588,1,5,8,9,1,0,,,,,,,,,,,,,,,,
C,2,62.5,-1,remove,53,53,41588,1,18,12,32,1,3,6,2,1,,,,,,,,,,,,,
C,2,65.8,-0.6,control,54,54,41588,1,84,50,45,15,233,6,6,6,4,2,10,11,10,11,8,,,,,,
C,2,68,2.3,remove,55,55,41588,1,141,95,60,60,285,14,17,11,16,14,9,14,15,16,14,,,,,,
C,2,71.6,0.5,remove,56,56,41588,1,41,37,35,9,75,6,7,8,7,7,8,8,7,9,7,,,,,,
C,2,73.7,-1.4,control,57,57,41588,1,15,11,30,1,1,2,,,,,,,,,,,,,,,
C,2,78.2,2.45,remove,58,58,41588,1,76,64,60,27,86,7,5,3,6,3,6,3,4,6,6,,,,,,
C,2,78.2,-1.1,control,59,59,41588,1,73,50,46,21,361,5,8,9,5,10,9,5,9,6,8,,,,,,
C,2,81.9,1.1,remove,60,60,41588,1,18,15,42,3,31,8,9,6,5,7,7,7,6,9,8,,,,,,
C,2,84.2,-1.6,remove,61,61,41588,1,25,26,37,4,59,7,4,4,5,3,3,3,5,4,4,,,,,,
C,2,88.6,4.2,control,62,62,41588,1,76,25,51,12,26,3,3,6,4,5,5,4,2,4,3,,,,,,
C,2,90.4,0.4,remove,63,63,41588,1,57,24,27,7,112,5,4,3,4,3,3,3,3,2,3,,,,,,
C,2,94.8,0.25,control,64,64,41588,1,9,8,17,1,3,4,5,5,,,,,,,,,,,,,
C,2,97.3,-0.3,control,65,65,41588,1,46,37,43,9,31,2,3,2,2,2,3,4,2,2,2,,,,,,
C,3,7,-0.5,remove,592,592,41588,1,3,2,4,,,,,,,,,,,,,1.5,,,,,
C,3,7,0.5,control,593,593,41588,3,2,1,6,,,,,,,,,,,,,1.7,,,,,
C,3,25,-0.5,remove,796,796,41588,1,1,1,3,,,,,,,,,,,,,1,,,,,
C,3,27,-0.5,remove,596,596,41588,1,2,2,4,,,,,,,,,,,,,1.4,,,,,
C,3,27,0.5,control,597,597,41588,1,2,1,4,,,,,,,,,,,,,1.5,,,,,
C,3,35,0.5,control,799,799,41588,1,2,3,5,,,,,,,,,,,,,1.4,,,,,
C,3,37,-0.5,control,598,598,41588,1,3,3,5,,,,,,,,,,,,,1.5,,,,,
C,3,45,0.5,control,801,801,41588,1,2,2,4,,,,,,,,,,,,,1,,,,,
C,3,49,-0.5,control,600,600,41588,1,4,3,5,,,,,,,,,,,,,2.3,,,,,
C,3,49,0.5,remove,601,601,41588,1,4,3,5,,,,,,,,,,,,,3.2,,,,,
