"site","T","Y","X","treat","ID","TAG","date","status","c1","c2","ch","old.notes","date2","Spring.Status","Spring.Notes","herbivory"
"H","3","7","0.5","remove","553","553","41574","0","","","","","41775","NA","",""
"H","3","15","-0.5","control","754","754","41574","0","","","","","41775","NA","",""
"H","3","15","0.5","remove","755","755","41574","0","","","","","41775","NA","",""
"H","3","17","0.5","control","554","554","41574","1","2","3","5","","41775","1","",""
"H","3","25","-0.5","control","756","756","41574","0","","","","","41775","NA","",""
"H","3","25","0.5","remove","757","757","41574","0","","","","","41775","NA","",""
"H","3","27","-0.5","control","556","556","41574","3","2","1","5","","41775","0","dry gray",""
"H","3","27","0.5","remove","557","557","41574","3","1","1","1","Eaten","41775","0","no lvs",""
"H","3","35","-0.5","control","758","758","41574","1","3","2","4","","41775","1","dry gray, changed status from 0 to 1, recorded alive on 5-22-14",""
"H","3","35","0.5","remove","759","555","41574","1","","","","Eaten","41775","1","resprouting back to life, changed tag to 555",""
"H","3","37","-0.5","remove","558","558","41574","1","3","3","4","","41775","1","",""
"H","3","45","-0.5","remove","760","760","41574","0","","","","","41775","NA","",""
"H","3","45","0.5","control","761","761","41574","1","3","3","7","","41775","1","",""
"H","3","47","-0.5","remove","560","560","41574","1","2","2","6","","41775","1","",""
"H","3","47","0.5","control","561","561","41574","1","4","3","5","","41775","1","",""
"H","3","55","-0.5","remove","762","762","41574","1","1","1","3","","41775","1","",""
"H","3","55","0.5","control","763","763","41574","0","","","","Eaten","41775","NA","",""
"H","3","57","-0.5","remove","562","562","41574","1","3","3","5","","41775","1","",""
"H","3","57","0.5","control","563","563","41574","1","2","1","4","","41775","1","",""
"H","3","65","-0.5","remove","764","764","41574","1","2","1","4","","41775","0","dry gray",""
"H","3","65","0.5","control","765","765","41574","1","4","3","5","","41775","1","",""
"H","3","67","-0.5","control","564","564","41574","1","4","2","8","","41775","1","",""
"H","3","75","-0.5","remove","766","766","41574","0","","","","","41775","NA","",""
"H","3","75","0.5","control","767","767","41574","0","","","","","41775","NA","",""
