"site","T","Y","X","treat","ID","TAG","date","status","c1","c2","ch","old.notes","date2","Spring.Status","Spring.Notes","herbivory"
"B",3,29.5,0.1,"control",86,86,2013-10-28,1,8,7,11,NA,2014-05-13,"1",NA,NA
"B",3,35.8,-0.3,"control",87,87,2013-10-28,1,79,90,40,NA,2014-05-13,"1",NA,NA
"B",3,41.2,0.9,"control",88,88,2013-10-28,1,23,19,23,NA,2014-05-13,"1",NA,NA
"B",3,48.3,-0.3,"control",89,89,2013-10-28,1,47,35,40,"many sterile infls.",2014-05-13,"1","branch dying back ",NA
"B",3,53.1,0.7,"remove",90,90,2013-10-28,1,23,21,25,NA,2014-05-13,"1",NA,NA
"B",3,59.6,-0.4,"remove",91,91,2013-10-28,1,120,78,46,NA,2014-05-13,"1","some dead branches",NA
"B",3,66.4,0.3,"remove",92,92,2013-10-28,1,18,16,36,NA,2014-05-13,"1",NA,NA
"B",3,70.9,0,"remove",93,93,2013-10-28,1,59,50,46,NA,2014-05-13,"1",NA,NA
"B",3,78.4,-0.1,"remove",94,94,2013-10-28,1,22,17,26,"six galls",2014-05-13,"1",NA,NA
"B",3,84.6,0.9,"remove",95,95,2013-10-28,1,73,87,44,NA,2014-05-13,"1",NA,NA
"B",3,90,-0.1,"control",96,96,2013-10-28,1,25,27,41,NA,2014-05-13,"1",NA,NA
"B",3,96.5,0.3,"remove",97,97,2013-10-28,1,53,26,37,NA,2014-05-13,"1",NA,NA
"B",2,11.2,-0.7,NA,833,109,2013-10-28,1,3,3,4,NA,2014-05-13,"1","yellow tipped lvs. ",NA
"C",1,6.2,-0.5,"control",838,1,2013-11-10,1,1,1,2,NA,2014-05-16,"0","dry gray",NA
"C",1,6.2,-2,"remove",839,2,2013-11-10,1,3,2,4,NA,2014-05-16,"1","healthy! ",NA
"C",1,9.8,-1,"control",840,9,2013-11-10,1,3,1,3,NA,2014-05-16,"1",NA,NA
"C",1,10,1.8,"control",3,3,2013-11-10,1,2,2,4,NA,2014-05-16,"1",NA,NA
"C",1,11.1,1.4,"remove",4,4,2013-11-10,1,2,2,6,NA,2014-05-16,"1",NA,NA
"C",1,24,-2.1,"remove",5,5,2013-11-10,1,3,3,11,NA,2014-05-16,"1","resprouting",NA
"C",1,24.4,-0.95,"remove",6,6,2013-11-10,1,1,1,4,NA,2014-05-16,"0","plant gone",NA
"C",1,34,-0.7,"remove",7,7,2013-11-10,1,2,1,4,NA,2014-05-16,"1",NA,NA
"C",1,42.3,-2.4,"remove",8,8,2013-11-10,1,4,3,4,NA,2014-05-16,"1",NA,NA
"C",1,48.9,0.9,"control",10,10,2013-11-10,2,NA,NA,NA,NA,2014-05-16,"0","dry no lvs",NA
"C",1,52.2,-1.6,"remove",11,11,2013-11-10,1,4,2,6,NA,2014-05-16,"1",NA,NA
"C",1,52.4,-0.55,"control",12,12,2013-11-10,1,2,1,5,NA,2014-05-16,"1",NA,NA
"C",1,52.5,-2.3,"control",33,33,2013-11-10,1,4,3,7,NA,2014-05-16,"1",NA,NA
"C",1,53.7,-1.4,"control",13,13,2013-11-10,1,4,2,5,NA,2014-05-16,"1",NA,NA
"C",1,54.7,-0.9,"control",14,14,2013-11-10,1,2,2,5,NA,2014-05-16,"0","dry gray",NA
"C",1,55.1,-0.6,"remove",15,15,2013-11-10,1,3,4,8,NA,2014-05-16,"1","some dead branches",NA
"C",1,55.2,0.6,"control",16,16,2013-11-10,1,1,1,3,NA,2014-05-16,"1",NA,NA
"C",1,55.9,0.1,"remove",17,17,2013-11-10,1,5,3,6,NA,2014-05-16,"0","dry gray",NA
"C",1,57.6,2.5,"remove",841,18,2013-11-10,1,2,2,3,NA,2014-05-16,"1",NA,NA
"C",1,58.1,-0.85,"control",19,19,2013-11-10,1,3,1,6,NA,2014-05-16,"0","dry gray",NA
"C",1,59.2,0.4,"remove",20,20,2013-11-10,1,2,1,7,NA,2014-05-16,"0","dry gray stepped on?",NA
"C",1,59.4,2.5,"remove",32,32,2013-11-10,1,3,2,8,NA,2014-05-16,"0","dry gray",NA
"C",1,63.9,0.3,"control",21,21,2013-11-10,1,3,3,5,NA,2014-05-16,"1",NA,NA
"C",1,64.8,-0.3,"control",22,22,2013-11-10,1,2,1,5,NA,2014-05-16,"1",NA,NA
"C",1,64.8,-1.3,"remove",23,23,2013-11-10,1,2,1,4,NA,2014-05-16,"0","dry gray",NA
"C",1,67.9,-1.6,"control",25,25,2013-11-10,1,2,2,5,NA,2014-05-16,"1",NA,NA
"C",1,69.5,0.3,"control",26,26,2013-11-10,1,1,1,8,NA,2014-05-16,"1","resprouting",NA
"C",1,70.6,-0.4,"remove",27,27,2013-11-10,1,7,4,9,NA,2014-05-16,"0","dry gray",NA
"C",1,75,0.2,"remove",29,29,2013-11-10,1,5,3,5,NA,2014-05-16,"1",NA,NA
"C",1,75.8,2,"control",842,24,2013-11-10,1,3,4,7,NA,2014-05-16,"1",NA,NA
"C",1,77.5,1.4,"remove",30,30,2013-11-10,1,3,2,6,NA,2014-05-16,"1",NA,NA
"C",1,83.5,0.3,"control",31,31,2013-11-10,1,2,1,4,NA,2014-05-16,"1",NA,NA
"C",1,84.1,2.5,NA,843,28,2013-11-10,1,2,2,3,NA,2014-05-16,"1","no trtment",NA
