tag1,tag2,site,transect,Y,X,ID,species,class,treatment,status,notes.1,notes.2,DATE,STATUS,c1,c2,ch,canopy,stem_d1,stem_d2,notes
110,,B,2,83.6,0.4,110,ATP,1,control,1,,,5/28/15,1,7,11,7,,4,3.4,
111,,B,2,85,0.4,111,ATP,1,remove,1,,,5/28/15,1,12,14,14,,7.3,5.5,
112,,B,2,86.3,0.1,112,ATP,1,remove,1,,,5/28/15,1,7,7,8,,4.6,4.6,
113,,B,2,91,0.5,113,ATP,1,control,1,,,5/28/15,1,6,6,7,,,,multistem
82,,B,3,6,0.15,82,ATP,2,remove,1,,,5/28/15,1,20,19,18,3,,,
83,,B,3,11.6,-2.4,83,ATP,3,control,1,,,5/28/15,1,22,42,34,4,,,
84,,B,3,17.9,-0.4,84,ATP,2,control,1,,,5/28/15,1,9,15,13,1,,,separate plant to the north
85,,B,3,23,0,85,ATP,3,control,1,,corrected Y position,5/28/15,1,123,113,58,68,,,
86,,B,3,29.5,0.1,86,ATP,2,control,1,,,5/28/15,1,10,14,15,1,,,
87,,B,3,35.8,-0.3,87,ATP,3,control,1,,,5/28/15,1,71,90,40,37,,,
88,,B,3,41.2,0.9,88,ATP,2,control,1,,,5/28/15,1,24,22,26,2,,,
89,,B,3,48.3,-0.3,89,ATP,3,control,1,,,5/28/15,1,11,33,37,2,,,
90,,B,3,53.1,0.7,90,ATP,2,remove,1,,,5/28/15,1,28,38,25,4,,,lots of dead branches 
91,,B,3,59.6,-0.4,91,ATP,3,remove,1,,,5/28/15,1,92,129,48,56,,,
92,,B,3,66.4,0.3,92,ATP,2,remove,1,,,5/28/15,1,25,31,41,4,,,
93,,B,3,70.9,0,93,ATP,3,remove,1,black aphids,,5/28/15,1,66,69,45,22,,,lots of aphids and ants
94,,B,3,78.4,-0.1,94,ATP,2,remove,1,,,5/28/15,1,28,42,26,7,,,"lots of aphids and ants, plant dying "
95,,B,3,84.6,0.9,95,ATP,3,remove,1,,,5/28/15,1,81,113,52,45,,,
96,,B,3,90,-0.1,96,ATP,2,control,1,,,5/28/15,1,29,34,47,4,,,grass mostly dying 
97,,B,3,96.5,0.3,97,ATP,3,remove,1,,,5/28/15,1,50,70,41,16,,,
2,,C,1,6.2,-2,839,ATV,1,remove,1,,,,,,,,,,,
9,,C,1,9.8,-1,840,ATV,1,control,1,,,,,,,,,,,
3,,C,1,10,1.8,3,ATV,1,control,1,,,,,,,,,,,
4,,C,1,11.1,1.4,4,ATV,1,remove,1,,,,,,,,,,,
5,,C,1,24,-2.1,5,ATP,1,remove,1,,,,,,,,,,,
650,,C,1,33.1,-5,1066,ATV,1,remove,1,,,,,,,,,,,
7,,C,1,34,-0.7,7,ATV,1,remove,1,,,,,,,,,,,
8,,C,1,42.3,-2.4,8,ATV,1,remove,1,,,,,,,,,,,
496,,C,1,45.5,0.6,1062,ATV,1,control,1,change x,,,,,,,,,,
11,,C,1,52.2,-1.6,11,ATP,1,remove,1,,,,,,,,,,,
12,,C,1,52.4,-0.55,12,ATV,1,control,1,,,,,,,,,,,
33,,C,1,52.5,-2.3,33,ATV,1,control,1,gray gall small neighbor to the west,,,,,,,,,,
13,,C,1,53.7,-1.4,13,ATP,1,control,1,,,,,,,,,,,
15,,C,1,55.1,-0.6,15,ATP,1,remove,1,,,,,,,,,,,
16,,C,1,55.2,0.6,16,ATP,1,control,1,,,,,,,,,,,
18,,C,1,57.6,2.5,841,ATV,1,remove,1,,,,,,,,,,,
829,,C,1,58.2,1,1063,ATV,1,control,1,,,,,,,,,,,
659,,C,1,60.6,1,1064,ATV,1,remove,1,,,,,,,,,,,
827,,C,1,61.9,1.2,1065,ATV,1,control,1,,,,,,,,,,,
21,,C,1,63.9,0.3,21,ATV,1,control,1,,,,,,,,,,,
22,,C,1,64.8,-0.3,22,ATP,1,control,1,,,,,,,,,,,
25,,C,1,67.9,-1.6,25,ATP,1,control,1,,,,,,,,,,,
26,,C,1,69.5,0.3,26,ATP,1,control,1,,,,,,,,,,,
29,,C,1,75,0.2,29,ATP,1,remove,1,,,,,,,,,,,
24,,C,1,75.8,2,842,ATP,1,control,1,,,,,,,,,,,
30,,C,1,77.5,1.4,30,ATP,1,remove,1,,,,,,,,,,,
